,index,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),High_Severity(ha),TSLF
231,231,CONCOW,39.725,-121.531,2000,9,712.62,274.05,0
265,265,CONE,40.752,-121.158,2002,9,724.05,337.41,1
427,427,CONSTANTIA,39.934,-120.058,2010,7,611.64,105.57,0
164,164,COOKS,40.195,-120.84,1996,8,514.62,291.96,0
509,509,COON,41.759,-123.954,2015,8,2422.17,566.28,0
1452,1452,COPCO,34.74,-118.781,2002,6,611.73,149.49,1
1449,1449,COPPER,34.558,-118.482,2002,6,7707.42,871.2,0
132,132,COPPER 8,37.988,-120.631,1994,6,708.57,14.04,0
389,389,CORRAL,40.86,-120.86,2008,6,4733.73,923.31,0
986,986,CORRAL,37.593,-121.488,2009,8,4855.32,355.5,0
1558,1558,CORRAL,34.054,-118.748,2007,11,2220.57,460.71,7
467,467,CORRAL COMPLEX,41.031,-123.469,2013,8,5501.25,2204.1,1
1033,1033,CORRINE,37.179,-119.5,2015,6,431.1,0.45,0
1579,1579,COTTON,35.061,-119.886,2010,5,843.39,0.0,0
812,812,COTTONWD 2,35.398,-118.769,1997,5,984.42,311.67,0
626,626,COTTONWOOD,37.098,-121.162,1984,5,571.14,65.25,1
1489,1489,COTTONWOOD,33.99,-116.681,2004,5,758.52,0.0,0
939,939,COTTONWOOD,35.416,-118.267,2006,8,966.15,191.61,0
1570,1570,COTTONWOOD,33.746,-116.822,2009,8,1028.43,15.48,0
144,144,COTTONWOOD,39.601,-120.193,1994,8,19387.89,9457.83,0
112,112,COTTONWOOD COMPLEX,38.005,-120.198,1990,9,1018.98,565.65,0
431,431,COUGAR,41.643,-121.436,2011,6,786.87,209.16,1
1403,1403,COUNTRY,34.027,-117.483,1998,8,543.87,0.27,2
555,555,COUNTY,38.683,-122.155,2018,6,37411.83,9948.6,0
997,997,COVE,35.65,-118.365,2011,5,573.57,54.0,1
527,527,COVE,41.279,-121.008,2017,7,12500.01,3113.01,0
1341,1341,COVINGTON,34.057,-116.3,1995,7,2207.97,0.0,0
1111,1111,COW,36.287,-118.209,2019,7,803.79,11.43,0
931,931,COYOTE,36.061,-118.894,2006,7,560.61,69.93,0
1121,1121,COYOTE,36.67474452,-120.9989679,2020,7,593.82,0.0,0
1464,1464,COYOTE,33.388,-116.582,2003,7,7776.09,2164.5,0
177,177,COYOTE,41.139,-123.879,1998,8,738.09,3.51,0
406,406,CRAIG,39.581,-121.347,2008,8,712.71,471.69,0
1668,1668,CRANSTON,33.715,-116.705,2018,7,5292.36,985.95,0
870,870,CRATER,37.917,-118.95,2001,8,2248.74,23.58,0
559,559,CREEK,40.486,-122.518,2018,6,544.59,26.1,1
309,309,CREEK,40.371,-120.701,2006,7,681.03,210.69,0
140,140,CREEK,38.066,-120.334,1994,8,604.98,290.97,0
869,869,CREEK,37.774,-120.236,2001,8,3965.13,1050.21,0
1090,1090,CREEK,38.121,-119.948,2017,9,870.57,19.62,5
1140,1140,CREEK,37.33285595,-119.2763844,2020,9,153659.34,67141.62,1
1662,1662,CREEK,34.294,-118.352,2017,12,6409.44,780.84,0
1122,1122,CREWS,37.01675957,-121.4539694,2020,7,2217.15,17.37,0
1342,1342,CROWDER,34.329,-117.471,1995,7,533.16,178.2,1
99,99,CROWDER MOUNTAIN,41.756,-120.549,1990,7,411.3,28.98,1
1583,1583,CROWN,34.576,-118.228,2010,7,5678.1,1268.1,1
